fomc_date,decision_bps,classification,supply_at_event,pct_change_t1,pct_change_t3,pct_change_t5,pct_change_t10
2023-02-01,25,hawkish,130878364975.0,0.0089,-0.0064,0.0448,-0.354
2023-03-22,25,hawkish,125971576323.0,-0.2037,0.0227,0.045,-1.0713
2023-05-03,25,hawkish,122759798281.0,-0.0332,0.1733,0.1895,0.1222
2023-06-14,0,hawkish,120582576732.0,-0.1211,-0.1463,-0.4609,-0.3912
2023-07-26,25,hawkish,118118807738.0,-0.1079,-0.1892,-0.1646,-0.6978
2023-09-20,0,neutral,117016017847.67271,-0.0573,-0.2816,-0.2382,-0.7063
2023-11-01,0,neutral,116975581319.09377,0.104,0.2426,0.4109,1.0063
2023-12-13,0,dovish,121863032201.54352,0.2839,0.8712,0.8631,1.6686
2024-01-31,0,neutral,129785903790.51936,0.1593,0.2154,0.2973,1.083
2024-03-20,0,neutral,142444665138.0733,0.1328,0.6719,0.7899,2.1467
2024-05-01,0,neutral,155285324252.9754,-0.156,0.0686,0.3207,-0.01
2024-06-12,0,neutral,156178966955.78348,0.1404,0.18,0.0616,0.2111
2024-07-31,0,dovish,158695176967.1112,-0.0529,-0.2666,-0.1031,1.1372
2024-09-18,-50,dovish,166063138322.08582,0.0102,0.1478,0.2169,0.4872
2024-11-07,-25,dovish,175287724563.58386,0.2799,1.0721,2.1567,4.5146
2024-12-18,-25,dovish,202411282788.0637,-0.0554,0.0278,0.0311,0.4858
2025-01-29,0,neutral,213371280889.46283,0.0942,0.5055,0.4502,3.4785
2025-03-19,0,neutral,224918163919.68256,0.2837,0.3644,0.4396,0.5706
2025-05-07,0,neutral,230548611851.8334,0.0496,0.2453,0.4426,0.5622
2025-06-18,0,neutral,238187678644.7147,0.0263,-0.1515,-0.1335,0.5553
2025-07-30,0,hawkish,250605607129.182,0.3131,0.6828,0.8765,1.8636
2025-09-17,-25,dovish,273848358507.7097,0.1234,0.8769,0.8742,1.9398
2025-10-29,-25,dovish,287787634493.88226,-0.1874,-0.3069,-0.3443,-0.5318
2025-12-10,-25,hawkish,290472389786.3302,-0.0444,0.1394,0.0914,-0.3714
2026-01-28,0,neutral,283357409217.6969,-0.1409,-0.8327,-0.8327,-0.8327
