date,Binance,Kraken,OKX,Coinbase,Bybit,HTX,Gemini,Crypto.com,KuCoin
2025-02-28,229956.84055542282,12352.166650222996,38659.37641279797,42114.372558202536,51734.51158245263,26692.77862237578,1423.451352194772,45812.29653130665,12176.033004540692
2025-03-31,222130.78277915172,12583.968548312996,37113.584798756725,38213.05132844226,31982.42782110418,35294.64042762357,1273.3168779594023,39406.74213643521,13539.922102100345
2025-04-30,188254.71622837783,12362.239104534763,34851.335340627375,34092.34255609104,33181.475364489,26692.71078411634,1738.5153550187144,30831.870997822192,12895.190839511355
2025-05-31,171962.28008821615,10698.09458951128,33970.71188449869,26172.646665700093,34452.16636364896,33221.04042451666,1912.756852640958,24435.455803433117,16044.791341337912
2025-06-30,136307.4349985769,9123.48404588042,22353.773477502014,17512.02676822526,25698.201344800527,28498.046744783307,1786.9775766962077,18844.891003844925,9501.782857392438
2025-07-31,192977.12290672667,12328.46103093845,29123.37465223821,28160.039246223783,34784.551356450705,28313.78209012305,2633.045480575106,24981.374018330444,13768.146870816941
2025-08-31,208265.03113936607,13080.5663663614,32441.77405991249,27700.30887724258,36018.71907472578,29873.696871611533,1729.4657092104474,32872.25578887286,15149.92414380393
2025-09-30,182242.08838035035,11304.882732783126,25733.17976895358,23692.46679362915,38550.469835967146,28531.984673487852,896.5539807316113,25692.445217732286,14485.644929304157
2025-10-31,228931.6933610529,14503.139595028713,34814.62197246039,27976.425657760734,44516.228859058756,35828.802022011,1168.1586974809159,33324.38594720575,45382.69581214894
2025-11-30,211295.08815422855,14312.048754465075,30721.485979475267,32632.748629117625,37728.825583797116,32096.850880275782,1205.5603546844593,33783.0623446278,46308.262211681475
2025-12-31,130715.23814972876,11251.177440413447,19734.1730729546,20487.5679025685,32432.947565200833,27372.850079912176,833.1795908238579,24670.43224666044,28826.448906794776
2026-01-31,143187.92132731254,12721.463523245015,19782.17249536991,22661.14071872621,26199.64783403558,21631.907632194198,748.245780980343,23979.83029054721,25699.61183310296
2026-02-28,236996.18328265927,24440.662199403796,44961.69171040351,47563.431827911736,47198.37912385992,24061.052168129547,1801.9374709372694,48502.33658553081,60553.93763856621
