address_category,n_transfers,size_bucket,total_volume_usd
labeled,2454836,1_lt_100,84031191.30071492
labeled,3324900,2_100_1k,1338722550.6183589
labeled,2812806,3_1k_10k,9422947159.676876
labeled,1015697,4_10k_100k,32579797156.1035
labeled,501343,5_100k_1m,174385587101.33755
labeled,181265,6_1m_10m,490823137876.6584
labeled,20436,7_10m_plus,676247885256.8947
unlabeled,10876241,1_lt_100,302637048.2511221
unlabeled,11823047,2_100_1k,4635891950.32403
unlabeled,9923742,3_1k_10k,34449226277.62602
unlabeled,4823660,4_10k_100k,154555996601.9259
unlabeled,1496663,5_100k_1m,420496123812.1475
unlabeled,262663,6_1m_10m,643739045172.1749
unlabeled,25322,7_10m_plus,586719244681.8226
