entity,tier,total_volume,n_transfers,share_pct,n_addresses
Binance,2,2894980705871.972,14728599,37.38691857563738,5
Coinbase,1,1899764313604.7444,18566565,24.534302961528372,6
Circle,1,1465127905961.1301,874726,18.92123757922044,3
Kraken,2,390816610885.1855,2927186,5.047159305598897,5
Tether,2,377033911066.4621,5024,4.869164103478938,2
OKX,2,268380872101.79758,3317909,3.4659760571724507,15
Bybit,2,206387570462.15512,3622102,2.6653701961609753,1
Curve 3pool,3,126279485542.24179,688637,1.6308229046794769,1
1inch,3,62722005062.33883,2440131,0.8100166233957907,1
Uniswap Universal Router,3,23511006593.32967,4899946,0.30363037907409224,1
Compound V3,3,19458054685.45068,109226,0.2512889653080182,1
Uniswap V3,3,6221950130.38033,438280,0.08035270923719005,1
BitGo,1,2612324615.144169,25065,0.0337365867349057,1
Tornado Cash,3,1784815.020097,2822,2.3049802609597133e-05,1
Aave V3,3,158.67371,12,2.04917465039805e-09,1
Robinhood,2,50.0,3,6.457196502174337e-10,1
Gemini,1,21.337726,4,2.755637793831088e-10,2
