date,sol,cex_sol,defi_sol,p2p_sol,supply_sol,cex_sol_share,defi_sol_share,p2p_sol_share
2023-02-01,15564216665.100773,1225242764.7162874,1015582851.0715115,4125039366.8309836,1702607628.5900002,7.872177515130693,6.5251138102486435,26.50335352938416
2023-03-01,14104047797.701395,1037911752.8732488,1460466919.5305548,2430474448.5412292,1511074984.6,7.358963666036372,10.354948738677518,17.232460378766834
2023-04-01,9961693901.79248,498838987.96948475,1281615395.4263613,1116238437.919775,1488231799.2699997,5.007571933923055,12.865436421367562,11.205307540306194
2023-05-01,8626994746.433838,520342354.33235717,2558275657.8932433,1249425971.1882186,1542225837.71,6.03155988413523,29.6543087492984,14.48274871970563
2023-06-01,10287748234.62913,630282936.1416254,3315761418.4926906,1393328505.548616,1541159625.5500002,6.12653927533003,32.230195985275515,13.543571185564158
2023-07-01,7012090160.382465,470120076.25112504,1418634535.185712,1161267616.9430802,1550418222.58,6.704421442086576,20.231264897317498,16.560933906755988
2023-08-01,8254498182.500768,587714339.9006795,1109218821.9148462,5390352983.062138,1510506736.0399997,7.119928151981574,13.437749907878704,65.30200702556925
2023-09-01,7713929667.484869,567271565.7061069,415793548.0993189,7629447164.907626,1508228612.24,7.353859707811752,5.390165143090923,98.90480590024892
2023-10-01,22971288490.357136,931034400.2290845,3538843037.3684664,26762754722.875877,1499609835.6699998,4.053035164396255,15.405505175967809,116.50523972179583
2023-11-01,46883038409.13247,1339653734.4351084,21487187232.06457,7645043706.211341,1548967952.2999995,2.8574379560138614,45.83147330288863,16.306630213459336
2023-12-01,155823762974.64282,2707689344.7834764,111158600661.11598,21029313012.41867,1842227036.79,1.7376613766053757,71.33610338957403,13.495575136278006
2024-01-01,269127242374.03595,2601067378.130861,197981227435.4746,11766042577.960453,2181093926.5499997,0.966482380299453,73.56417198386708,4.371925515295059
2024-02-01,485174224697.89233,2629450377.437519,355445570702.3501,7380178546.435502,2299937884.5499997,0.5419600307652002,73.2614291131559,1.5211398649693277
2024-03-01,722930185891.091,6195994002.3038435,544487572903.5489,16651020171.937628,2834662768.26,0.8570667158774951,75.3167572097447,2.303268074414878
2024-04-01,748337554773.5238,3636291839.4003854,569921700020.1973,11021416403.238258,3265255201.800001,0.4859159902112449,76.1583721657104,1.4727867568498243
2024-05-01,1210453028966.8237,3786889475.1670623,949076876288.7498,9220355438.090626,3058283098.39,0.3128489404003841,78.40674966948778,0.7617276521634727
2024-06-01,490845402697.7857,3900449634.8188686,351438275704.0729,9496736764.264317,3073103563.9899983,0.7946391294247044,71.59856724184375,1.9347714600296404
2024-07-01,175744517044.77588,4008873710.788638,77328763684.34581,10822940858.45268,3415028916.3000007,2.281080387712616,44.00066925823018,6.158337705463227
2024-08-01,158358436657.84503,4566938763.064908,64116291936.765976,13530744411.712473,3903797675.6299996,2.883925138091885,40.488080894166664,8.544378624390873
2024-09-01,200421397386.20386,3658663618.658435,83957284525.24765,10587803873.14183,3763088042.629999,1.8254855351638626,41.89037977989216,5.282771206678878
2024-10-01,348256002694.6825,5239070728.884426,154185198665.23947,14545006309.982084,3725255839.2000003,1.5043734173557208,44.273522199820995,4.176527094274884
2024-11-01,339378173196.916,9102038235.958025,109210491972.70805,24550398012.268955,4683099221.799998,2.681975140067946,32.17958625445877,7.233935459374454
2024-12-01,571691013186.9204,9035085427.269087,74492629699.8017,31073233842.507328,5266731968.69,1.5804141081215441,13.03022576558249,5.4353196264688535
2025-01-01,706092391741.3855,13955254016.443674,82194281972.42696,59183808146.244705,11419305182.97,1.9764062295058615,11.640726190196872,8.381878751063141
2025-02-01,179128084028.3296,14123346988.628044,38731038907.011024,47313742162.578,11446164864.009998,7.884496205739798,21.621980225549446,26.413358027708938
2025-03-01,128514283377.98221,14187360917.789043,29314861657.55587,46141467500.54918,12167490606.67,11.039520701416215,22.810586408777546,35.90376593770463
2025-04-01,127061726094.87712,11948663115.285742,32548288430.661182,39586325492.661415,12779480447.969997,9.403825591322176,25.616123305579325,31.155192605444586
2025-05-01,140614181452.66483,12174506892.603432,39978955635.52282,44900446625.64537,11056471385.84,8.65809320712204,28.43166686496767,31.931663052606314
2025-06-01,89970381967.08081,8868942814.109116,20016086845.23771,38983138202.40414,10181431439.549997,9.857624943010874,22.24741788087704,43.32885706394761
2025-07-01,157198384212.5413,12317233177.874218,34140777477.621426,66176079055.6281,10916540664.399998,7.835470599507313,21.718275062841055,42.09717509955714
2025-08-01,202695917337.7082,12738977447.19747,33188289043.951923,80644804397.13922,12428541297.340002,6.2847725866985655,16.37343735377634,39.78610198782558
2025-09-01,279166458554.0156,16015682489.212738,42269769005.597115,110789658716.62325,14568467063.659996,5.736965168440491,15.141421080648335,39.68587748344655
2025-10-01,549089108707.22504,26402332544.462166,61868543270.72516,324425195223.0506,15411553409.009996,4.808387586966312,11.267486877747112,59.0842524607485
2025-11-01,275940406857.3852,22315167438.309864,29764939784.873283,131027448909.08403,15462286021.410006,8.086951705424953,10.78672751260266,47.48396597704634
2025-12-01,233225081306.13834,23651418869.625652,15574406635.923666,120190443360.4767,15198702566.539997,10.141027173050947,6.6778438016622355,51.53409860010342
2026-01-01,413954244988.7995,37420625121.327614,22371931494.656567,280814553940.46814,15364478989.56,9.039797411025491,5.404445482920918,67.8370997132947
