date,DTWEXBGS
2023-01-06,121.6946
2023-01-13,119.8299
2023-01-20,119.3117
2023-01-27,119.0302
2023-02-03,118.8706
2023-02-10,120.2304
2023-02-17,120.2758
2023-02-24,121.0306
2023-03-03,121.0535
2023-03-10,121.2173
2023-03-17,121.4596
2023-03-24,120.5500
2023-03-31,119.6923
2023-04-07,119.2839
2023-04-14,119.1142
2023-04-21,119.2236
2023-04-28,119.3589
2023-05-05,119.1557
2023-05-12,118.8767
2023-05-19,119.5612
2023-05-26,120.4710
2023-06-02,120.3937
2023-06-09,119.7678
2023-06-16,118.9148
2023-06-23,118.8931
2023-06-30,119.2394
2023-07-07,119.3639
2023-07-14,117.9114
2023-07-21,117.4072
2023-07-28,117.8221
2023-08-04,118.7484
2023-08-11,119.3965
2023-08-18,120.3193
2023-08-25,120.3196
2023-09-01,120.2720
2023-09-08,121.8005
2023-09-15,121.2247
2023-09-22,121.2813
2023-09-29,122.4840
2023-10-06,123.5379
2023-10-13,123.1259
2023-10-20,123.5327
2023-10-27,123.6679
2023-11-03,123.1349
2023-11-10,121.9867
2023-11-17,121.3749
2023-11-24,120.3420
2023-12-01,119.9530
2023-12-08,120.6319
2023-12-15,120.4146
2023-12-22,119.4592
2023-12-29,118.5479
2024-01-05,119.4933
2024-01-12,119.6208
2024-01-19,120.7875
2024-01-26,120.7316
2024-02-02,120.6250
2024-02-09,121.0663
2024-02-16,121.2442
2024-02-23,121.0492
2024-03-01,121.0691
2024-03-08,120.4775
2024-03-15,120.1623
2024-03-22,120.8860
2024-03-29,121.0390
2024-04-05,121.1129
2024-04-12,121.3820
2024-04-19,122.9357
2024-04-26,122.8918
2024-05-03,122.6246
2024-05-10,122.0709
2024-05-17,121.5530
2024-05-24,121.5039
2024-05-31,121.9131
2024-06-07,122.7061
2024-06-14,123.9940
2024-06-21,124.1293
2024-06-28,124.0925
2024-07-05,124.0029
2024-07-12,123.0327
2024-07-19,122.7634
2024-07-26,123.4719
2024-08-02,123.8799
2024-08-09,123.4352
2024-08-16,122.7293
2024-08-23,121.8655
2024-08-30,122.0031
2024-09-06,122.5620
2024-09-13,122.5191
2024-09-20,121.4747
2024-09-27,121.2387
2024-10-04,121.7773
2024-10-11,122.8089
2024-10-18,123.8667
2024-10-25,124.5405
2024-11-01,124.8181
2024-11-08,125.0406
2024-11-15,126.9049
2024-11-22,126.8920
2024-11-29,126.9563
2024-12-06,126.7915
2024-12-13,126.9337
2024-12-20,127.7889
2024-12-27,128.3557
2025-01-03,129.2528
2025-01-10,129.0757
2025-01-17,129.5107
2025-01-24,128.1082
2025-01-31,128.2596
