date,VIXCLS
2023-01-06,22.13
2023-01-13,20.16
2023-01-20,19.91
2023-01-27,19.07
2023-02-03,18.85
2023-02-10,19.79
2023-02-17,19.53
2023-02-24,21.84
2023-03-03,20.06
2023-03-10,20.94
2023-03-17,24.98
2023-03-24,22.43
2023-03-31,19.48
2023-04-07,18.76
2023-04-14,18.41
2023-04-21,16.84
2023-04-28,17.46
2023-05-05,17.90
2023-05-12,17.12
2023-05-19,16.97
2023-05-26,18.57
2023-06-02,16.62
2023-06-09,14.02
2023-06-16,14.31
2023-06-23,13.52
2023-06-30,13.71
2023-07-07,14.34
2023-07-14,14.08
2023-07-21,13.63
2023-07-28,13.74
2023-08-04,15.33
2023-08-11,15.68
2023-08-18,16.65
2023-08-25,16.59
2023-09-01,14.01
2023-09-08,14.10
2023-09-15,13.62
2023-09-22,15.60
2023-09-29,17.78
2023-10-06,18.38
2023-10-13,17.37
2023-10-20,19.48
2023-10-27,20.30
2023-11-03,17.07
2023-11-10,14.72
2023-11-17,14.24
2023-11-24,12.97
2023-12-01,12.78
2023-12-08,12.86
2023-12-15,12.33
2023-12-22,13.09
2023-12-29,12.59
2024-01-05,13.68
2024-01-12,12.73
2024-01-19,13.86
2024-01-26,13.12
2024-02-02,13.80
2024-02-09,13.06
2024-02-16,14.48
2024-02-23,14.75
2024-03-01,13.50
2024-03-08,14.33
2024-03-15,14.32
2024-03-22,13.43
2024-03-29,13.06
2024-04-05,14.99
2024-04-12,15.64
2024-04-19,18.51
2024-04-26,15.80
2024-05-03,14.78
2024-05-10,12.99
2024-05-17,12.78
2024-05-24,12.20
2024-05-31,13.39
2024-06-07,12.74
2024-06-14,12.45
2024-06-21,12.80
2024-06-28,12.68
2024-07-05,12.22
2024-07-12,12.62
2024-07-19,14.65
2024-07-26,16.50
2024-08-02,18.53
2024-08-09,27.66
2024-08-16,17.01
2024-08-23,16.04
2024-08-30,15.87
2024-09-06,19.97
2024-09-13,17.97
2024-09-20,17.09
2024-09-27,15.80
2024-10-04,18.92
2024-10-11,21.26
2024-10-18,19.41
2024-10-25,19.04
2024-11-01,20.91
2024-11-08,17.78
2024-11-15,14.83
2024-11-22,16.24
2024-11-29,14.04
2024-12-06,13.28
2024-12-13,13.94
2024-12-20,20.13
2024-12-27,15.43
2025-01-03,17.20
2025-01-10,17.83
2025-01-17,17.32
2025-01-24,15.17
2025-01-31,16.63
